rgn_id,year,status
1,2000,1
1,2001,1
1,2002,1
1,2003,1
1,2004,1
1,2005,1
1,2006,1
1,2007,1
1,2008,1
1,2009,1
1,2010,1
1,2011,1
1,2012,1
1,2013,1
1,2014,1
1,2015,1
1,2016,1
1,2017,1
1,2018,1
1,2019,1
2,2000,0.5
2,2001,0.5
2,2002,0.5
2,2003,0.5
2,2004,0.5
2,2005,0.5
2,2006,0.5
2,2007,0.5
2,2008,0.5
2,2009,0.5
2,2010,0.5
2,2011,0.5
2,2012,0.5
2,2013,0.5
2,2014,0.5
2,2015,0.5
2,2016,0.5
2,2017,0.5
2,2018,0.5
2,2019,0.5
3,2000,0
3,2001,0
3,2002,0
3,2003,0
3,2004,0
3,2005,0
3,2006,0
3,2007,0
3,2008,0
3,2009,0
3,2010,0
3,2011,0
3,2012,0
3,2013,0
3,2014,0
3,2015,0
3,2016,0
3,2017,0
3,2018,0
3,2019,0
