.id,sciname,year,code,category
pluvialis fulva,pluvialis fulva,2016,LC,Least Concern
pluvialis fulva,pluvialis fulva,2012,LC,Least Concern
pluvialis fulva,pluvialis fulva,2009,LC,Least Concern
pluvialis fulva,pluvialis fulva,2008,LC,Least Concern
pluvialis fulva,pluvialis fulva,2004,LC,Least Concern
pluvialis fulva,pluvialis fulva,2000,LR/lc,Lower Risk/least concern
pluvialis fulva,pluvialis fulva,1994,LR/lc,Lower Risk/least concern
pluvialis fulva,pluvialis fulva,1988,LR/lc,Lower Risk/least concern
gymnothorax pictus,gymnothorax pictus,2019,LC,Least Concern
myripristis murdjan,myripristis murdjan,2016,LC,Least Concern
chlorurus sordidus,chlorurus sordidus,2012,LC,Least Concern
chlorurus sordidus,chlorurus sordidus,2010,LC,Least Concern
sargocentron spiniferum,sargocentron spiniferum,2016,LC,Least Concern
zanclus cornutus,zanclus cornutus,2016,LC,Least Concern
gnathodentex aureolineatus,gnathodentex aureolineatus,2016,LC,Least Concern
chanos chanos,chanos chanos,2019,LC,Least Concern
chanos chanos,chanos chanos,2017,LC,Least Concern
caranx ignobilis,caranx ignobilis,2016,LC,Least Concern
neoniphon argenteus,neoniphon argenteus,2016,LC,Least Concern
gymnothorax javanicus,gymnothorax javanicus,2019,LC,Least Concern
synodus jaculum,synodus jaculum,2016,LC,Least Concern
dactyloptena orientalis,dactyloptena orientalis,2016,LC,Least Concern
mulloidichthys flavolineatus,mulloidichthys flavolineatus,2016,LC,Least Concern
carangoides ferdau,carangoides ferdau,2016,LC,Least Concern
lutjanus fulvus,lutjanus fulvus,2016,LC,Least Concern
parupeneus barberinus,parupeneus barberinus,2016,LC,Least Concern
carcharhinus melanopterus,carcharhinus melanopterus,2009,NT,Near Threatened
carcharhinus melanopterus,carcharhinus melanopterus,2000,LR/nt,Lower Risk/near threatened
dermochelys coriacea,dermochelys coriacea,2013,VU,Vulnerable
dermochelys coriacea,dermochelys coriacea,2000,CR,Critically Endangered
dermochelys coriacea,dermochelys coriacea,1996,EN,Endangered
dermochelys coriacea,dermochelys coriacea,1994,E,Endangered
dermochelys coriacea,dermochelys coriacea,1990,E,Endangered
dermochelys coriacea,dermochelys coriacea,1988,E,Endangered
dermochelys coriacea,dermochelys coriacea,1986,E,Endangered
dermochelys coriacea,dermochelys coriacea,1982,E,Endangered
birgus latro,birgus latro,1996,DD,Data Deficient
birgus latro,birgus latro,1994,R,Rare
birgus latro,birgus latro,1990,R,Rare
birgus latro,birgus latro,1988,R,Rare
birgus latro,birgus latro,1986,R,Rare
birgus latro,birgus latro,1983,R,Rare
octopus cyanea,octopus cyanea,2018,LC,Least Concern
tridacna maxima,tridacna maxima,1996,LR/cd,Lower Risk/conservation dependent
tridacna maxima,tridacna maxima,1994,K,Insufficiently Known
tridacna maxima,tridacna maxima,1990,K,Insufficiently Known
tridacna maxima,tridacna maxima,1988,K,Insufficiently Known
tridacna maxima,tridacna maxima,1986,K,Insufficiently Known
tridacna maxima,tridacna maxima,1983,K,Insufficiently Known
lepidochelys olivacea,lepidochelys olivacea,2008,VU,Vulnerable
lepidochelys olivacea,lepidochelys olivacea,1996,EN,Endangered
lepidochelys olivacea,lepidochelys olivacea,1994,E,Endangered
lepidochelys olivacea,lepidochelys olivacea,1990,E,Endangered
lepidochelys olivacea,lepidochelys olivacea,1988,E,Endangered
lepidochelys olivacea,lepidochelys olivacea,1986,E,Endangered
lepidochelys olivacea,lepidochelys olivacea,1982,E,Endangered
centropyge bispinosa,centropyge bispinosa,2010,LC,Least Concern
centropyge flavissima,centropyge flavissima,2010,LC,Least Concern
centropyge multicolor,centropyge multicolor,2010,LC,Least Concern
centropyge heraldi,centropyge heraldi,2010,LC,Least Concern
pygoplites diacanthus,pygoplites diacanthus,2010,LC,Least Concern
genicanthus bellus,genicanthus bellus,2010,LC,Least Concern
genicanthus watanabei,genicanthus watanabei,2010,LC,Least Concern
centropyge fisheri,centropyge fisheri,2010,LC,Least Concern
pomacanthus imperator,pomacanthus imperator,2010,LC,Least Concern
paracentropyge multifasciata,paracentropyge multifasciata,2010,LC,Least Concern
centropyge loricula,centropyge loricula,2010,LC,Least Concern
elops hawaiensis,elops hawaiensis,2012,DD,Data Deficient
albula argentea,albula argentea,2012,DD,Data Deficient
chaetodon ephippium,chaetodon ephippium,2010,LC,Least Concern
chaetodon flavirostris,chaetodon flavirostris,2010,LC,Least Concern
chaetodon auriga,chaetodon auriga,2010,LC,Least Concern
chaetodon semeion,chaetodon semeion,2010,LC,Least Concern
chaetodon lineolatus,chaetodon lineolatus,2010,LC,Least Concern
chaetodon citrinellus,chaetodon citrinellus,2010,LC,Least Concern
chaetodon trifascialis,chaetodon trifascialis,2010,NT,Near Threatened
chaetodon quadrimaculatus,chaetodon quadrimaculatus,2010,LC,Least Concern
heniochus monoceros,heniochus monoceros,2010,LC,Least Concern
forcipiger longirostris,forcipiger longirostris,2010,LC,Least Concern
hemitaurichthys thompsoni,hemitaurichthys thompsoni,2010,LC,Least Concern
heniochus chrysostomus,heniochus chrysostomus,2010,LC,Least Concern
chaetodon bennetti,chaetodon bennetti,2010,DD,Data Deficient
hemitaurichthys polylepis,hemitaurichthys polylepis,2010,LC,Least Concern
chaetodon lunula,chaetodon lunula,2010,LC,Least Concern
chaetodon ornatissimus,chaetodon ornatissimus,2010,LC,Least Concern
chaetodon reticulatus,chaetodon reticulatus,2010,DD,Data Deficient
chaetodon mertensii,chaetodon mertensii,2010,LC,Least Concern
chaetodon trichrous,chaetodon trichrous,2010,LC,Least Concern
chaetodon lunulatus,chaetodon lunulatus,2010,LC,Least Concern
heniochus varius,heniochus varius,2010,LC,Least Concern
chaetodon ulietensis,chaetodon ulietensis,2010,LC,Least Concern
forcipiger flavissimus,forcipiger flavissimus,2010,LC,Least Concern
chaetodon unimaculatus,chaetodon unimaculatus,2010,LC,Least Concern
chaetodon rafflesii,chaetodon rafflesii,2010,LC,Least Concern
chaetodon vagabundus,chaetodon vagabundus,2010,LC,Least Concern
heniochus acuminatus,heniochus acuminatus,2010,LC,Least Concern
chaetodon pelewensis,chaetodon pelewensis,2010,LC,Least Concern
euprotomicrus bispinatus,euprotomicrus bispinatus,2015,LC,Least Concern
euprotomicrus bispinatus,euprotomicrus bispinatus,2006,LC,Least Concern
sphyrna lewini,sphyrna lewini,2019,CR,Critically Endangered
sphyrna lewini,sphyrna lewini,2009,EN,Endangered
sphyrna lewini,sphyrna lewini,2000,LR/nt,Lower Risk/near threatened
carcharhinus amblyrhynchos,carcharhinus amblyrhynchos,2009,NT,Near Threatened
carcharhinus amblyrhynchos,carcharhinus amblyrhynchos,2000,LR/nt,Lower Risk/near threatened
prionace glauca,prionace glauca,2019,NT,Near Threatened
prionace glauca,prionace glauca,2009,NT,Near Threatened
prionace glauca,prionace glauca,2000,LR/nt,Lower Risk/near threatened
negaprion acutidens,negaprion acutidens,2003,VU,Vulnerable
alopias pelagicus,alopias pelagicus,2019,EN,Endangered
alopias pelagicus,alopias pelagicus,2009,VU,Vulnerable
aetobatus narinari,aetobatus narinari,2006,NT,Near Threatened
aetobatus narinari,aetobatus narinari,2000,DD,Data Deficient
carcharhinus leucas,carcharhinus leucas,2009,NT,Near Threatened
carcharhinus leucas,carcharhinus leucas,2000,LR/nt,Lower Risk/near threatened
carcharodon carcharias,carcharodon carcharias,2019,VU,Vulnerable
carcharodon carcharias,carcharodon carcharias,2009,VU,Vulnerable
carcharodon carcharias,carcharodon carcharias,2000,VU,Vulnerable
carcharodon carcharias,carcharodon carcharias,1996,VU,Vulnerable
carcharodon carcharias,carcharodon carcharias,1994,K,Insufficiently Known
carcharodon carcharias,carcharodon carcharias,1990,K,Insufficiently Known
aetobatus ocellatus,aetobatus ocellatus,2016,VU,Vulnerable
triaenodon obesus,triaenodon obesus,2009,NT,Near Threatened
triaenodon obesus,triaenodon obesus,2000,LR/nt,Lower Risk/near threatened
alopias vulpinus,alopias vulpinus,2019,VU,Vulnerable
alopias vulpinus,alopias vulpinus,2009,VU,Vulnerable
alopias vulpinus,alopias vulpinus,2002,DD,Data Deficient
alopias vulpinus,alopias vulpinus,2000,DD,Data Deficient
nebrius ferrugineus,nebrius ferrugineus,2003,VU,Vulnerable
gymnura poecilura,gymnura poecilura,2006,NT,Near Threatened
sphyrna mokarran,sphyrna mokarran,2019,CR,Critically Endangered
sphyrna mokarran,sphyrna mokarran,2007,EN,Endangered
sphyrna mokarran,sphyrna mokarran,2000,DD,Data Deficient
isurus paucus,isurus paucus,2019,EN,Endangered
isurus paucus,isurus paucus,2006,VU,Vulnerable
pseudocarcharias kamoharai,pseudocarcharias kamoharai,2019,LC,Least Concern
pseudocarcharias kamoharai,pseudocarcharias kamoharai,2009,NT,Near Threatened
pseudocarcharias kamoharai,pseudocarcharias kamoharai,2000,LR/nt,Lower Risk/near threatened
galeocerdo cuvier,galeocerdo cuvier,2019,NT,Near Threatened
galeocerdo cuvier,galeocerdo cuvier,2009,NT,Near Threatened
galeocerdo cuvier,galeocerdo cuvier,2000,LR/nt,Lower Risk/near threatened
pteroplatytrygon violacea,pteroplatytrygon violacea,2019,LC,Least Concern
pteroplatytrygon violacea,pteroplatytrygon violacea,2009,LC,Least Concern
megachasma pelagios,megachasma pelagios,2019,LC,Least Concern
megachasma pelagios,megachasma pelagios,2015,LC,Least Concern
megachasma pelagios,megachasma pelagios,2005,DD,Data Deficient
megachasma pelagios,megachasma pelagios,2000,DD,Data Deficient
isurus oxyrinchus,isurus oxyrinchus,2019,EN,Endangered
isurus oxyrinchus,isurus oxyrinchus,2009,VU,Vulnerable
isurus oxyrinchus,isurus oxyrinchus,2000,LR/nt,Lower Risk/near threatened
mobula alfredi,mobula alfredi,2019,VU,Vulnerable
mobula alfredi,mobula alfredi,2011,VU,Vulnerable
carcharhinus albimarginatus,carcharhinus albimarginatus,2016,VU,Vulnerable
carcharhinus albimarginatus,carcharhinus albimarginatus,2009,NT,Near Threatened
carcharhinus limbatus,carcharhinus limbatus,2009,NT,Near Threatened
carcharhinus limbatus,carcharhinus limbatus,2000,LR/nt,Lower Risk/near threatened
carcharhinus limbatus,carcharhinus limbatus,1996,VU,Vulnerable
carcharhinus falciformis,carcharhinus falciformis,2017,VU,Vulnerable
carcharhinus falciformis,carcharhinus falciformis,2016,NT,Near Threatened
carcharhinus falciformis,carcharhinus falciformis,2009,NT,Near Threatened
carcharhinus falciformis,carcharhinus falciformis,2000,LR/lc,Lower Risk/least concern
carcharhinus galapagensis,carcharhinus galapagensis,2019,LC,Least Concern
carcharhinus galapagensis,carcharhinus galapagensis,2003,NT,Near Threatened
mobula birostris,mobula birostris,2018,VU,Vulnerable
mobula birostris,mobula birostris,2011,VU,Vulnerable
rhincodon typus,rhincodon typus,2016,EN,Endangered
rhincodon typus,rhincodon typus,2005,VU,Vulnerable
rhincodon typus,rhincodon typus,2000,VU,Vulnerable
rhincodon typus,rhincodon typus,1996,DD,Data Deficient
rhincodon typus,rhincodon typus,1994,I,Indeterminate
rhincodon typus,rhincodon typus,1990,I,Indeterminate
carcharhinus longimanus,carcharhinus longimanus,2019,CR,Critically Endangered
carcharhinus longimanus,carcharhinus longimanus,2015,VU,Vulnerable
carcharhinus longimanus,carcharhinus longimanus,2006,VU,Vulnerable
carcharhinus longimanus,carcharhinus longimanus,2000,LR/nt,Lower Risk/near threatened
encrasicholina punctifer,encrasicholina punctifer,2017,LC,Least Concern
praealticus caesius,praealticus caesius,2014,LC,Least Concern
entomacrodus sealei,entomacrodus sealei,2014,LC,Least Concern
blenniella gibbifrons,blenniella gibbifrons,2014,LC,Least Concern
blenniella chrysospilos,blenniella chrysospilos,2014,LC,Least Concern
enneapterygius triserialis,enneapterygius triserialis,2014,LC,Least Concern
enneapterygius nigricauda,enneapterygius nigricauda,2014,LC,Least Concern
cirripectes fuscoguttatus,cirripectes fuscoguttatus,2014,LC,Least Concern
atrosalarias fuscus,atrosalarias fuscus,2014,LC,Least Concern
entomacrodus decussatus,entomacrodus decussatus,2014,LC,Least Concern
aspidontus taeniatus,aspidontus taeniatus,2014,LC,Least Concern
